NADHIR	நாதிர்
INFOSYS TECHNOLOGIES	இனஃபோசிஸ் டெக்காலஜிஸ்
CHANPATIA	சன்பாடியா
TOWER PLACE THREE	டவர் பிளேஸ் த்ரி
BHAGWANTI	பகவந்தி
PAL DO PAL KA SATH	பால் தோ பால் கா ஸாத்
CAMPERDOWN	காம்பர்டவுன்
ABDUL RABB	அப்துல் ராப்
Baral	பாரல்
THE AFTERNOON	த ஆஃப்டர்னூன்
FABIOLA	ஃபாபியோலா
Mahasamund	மஹாசாமுந்த
WAVRE-SAINTE-CATHERINE	வாவ்ரே-செயிண்டெ-காத்ரீன்
RAJGEER	ராஜ்கீர்
RIKKI CLARKE	ரிக்கி கிளார்க்
GARRY	காரி
Nasr	நாசர்
TENDULKAR	தெண்டுல்கர்
GANGAKHER	கங்காகேர்
Balraj	பல்ராஜ்
MEVAN PIERIS	மெவன் பியரிஸ்
NORTON	நார்டன்
UWHARRIE	உஹாரி
LOMBARD CHRISTIAN REFORMED	லம்பார்ட் கிறிஸ்டியன் ரிபார்ம்ட்
CORUS GROUP	காரஸ் குரூப்
NAZIRAH	நஸீரா
CHAR DIWARI	சார் திவாரி
BAINS	பைன்ஸ்
DILDAR	தில்தர்
AMJAD	அம்ஜத்
AMRAH	அம்ரா
BOSCHBEEK FORT	போஷ்பீக் ஃப்போர்ட்
OMANAND	ஓமானந்த்
FORT WORDEN	ஃப்போர்ட் வோர்டென்
OZHAR	ஓஸார்
CONQUEROR	கான்குவரர்
VASANTA	வஸந்தா
DHOBLE	தோப்லே
GOLDEN	கோல்டன்
COMMTOUCH SOFTWARE	காம்டச் சாப்ட்வேர்
NISHANT	நிஷாந்த்
UNIVERSITY OF SOUTH QUEENSLAND	யூனிவர்சிட்டி ஆஃப் சௌத் குயின்ஸ்லேண்ட்
Dabeer	தபீர்
THAQAF	தகாஃப்
MAHINDRA UNITED WORLD COLLEGE OF INDIA	மஹிந்த்ரா யுனைடெட் வோர்ல்ட் காலேஜ் ஆஃப் இண்டியா
BHAAGEERATHEE	பாகீரதி
ADITYAKESHAV	ஆதித்யாகேஷவ்
BARCLAYS	பார்கிளேஸ்
AMRATAA	அம்ராதா
SKYEPHARMA	ஸ்கையிபார்மா
TAHA	தாஹா
DO SHIKARI	தோ ஷிகாரி
AMEER ZADI	அமீர் ஸதி
GRATIANA	கிரேஷியானா
BIJLI	பிஜ்லி
LIAM NEESON	லியம் நீசன்
DOHRIGHAT	தோரிகாட்
MINTO CUP	மிண்டோ கப்
RAAJAKAN_YAA	ராஜகன்யா
ALBELI	அல்பேலி
BHOJUDIH JUNCTION	போஜுதி ஜங்ஷன்
AJIT AGARKAR	அஜித் அகர்க்கர்
SHARVANI	ஷர்வானி
ORDER OF ORANGE NASSAU	ஆர்டர் ஆஃப் ஆரஞ்ச் நஸ்ஸாவ்
POTEMKIN	போடெம்கின்
DREAMA	ட்ரீமா
SACHDEVA PUBLIC SCHOOL PITAMPURA	சாச்தேவா பப்ளிக் ஸ்கூல் பிதாம்புரா
BAWANI KHERA	பவானி கேரா
THE ASSAM TRIBUNE	த அஸ்ஸாம் டிரைபூன்
ALA	அலா
NUTZOTIN	நுட்ஜோடின்
ALIA BADA	அலியா படா
AMERICAN EXPRESS	அமெரிக்கன் எக்ஸ்பிரஸ்
DELANO	டெலேனோ
ADWAAKEE	அத்வாகீ
BHAGAVAT	பகவத்
DRAUPADI	த்ரௌபதி
DHADHRIA	தாத்ரியா
VLORA	விளோரா
CERVANTES	செர்வாண்டெஸ்
SAMARTH	சமர்த்
MEDCO HEALTH SOLUTIONS	மெட்கோ ஹெல்த் சல்யூஷன்ஸ்
UPPAL	உப்பல்
NAM NON	நாம் நான்
FLORENCE	ஃப்ளோரன்ஸ்
FLORENCE	பிலாரன்ஸ்
PICO DE ORIZABA	பீகோ டீ ஓரிஜாபா
SZENT ISTVAN	ஸ்ஸெண்ட் இஸ்ட்வான்
DOANE	டோயேன்
AACHAARYANANDANA	ஆசார்யானான்தனா
ADWAKEE	அத்வாகீ
Joshi	ஜோஷி
CHINGARI	சிங்காரி
IHSAN	இஹ்சான்
Tind	திந்த்
MAZDA MOTOR	மாஸ்த மோட்டார்
ROBERT ANDERSON	ராபர்ட் ஆன்டர்சன்
GAURANG	கெளராங்
CAILEAN	கைலீன்
FUSEELAH	ஃபுசீலா
SOUTH SEMINOLE BAPTIST	சௌத் செமினோல் பேப்டிஸ்ட்
AMBODALA	அம்போடாலா
ILM	இல்ம்
VISHWENDRA	விஷ்வேந்திரா
VANANI	வனனி
PRATEECHEESH	ப்ரதீசீஷ்
ROCK CLIMBING	ராக் க்ளைம்பிங்
MADHUNISHA	மதுனிஷா
EK DO TEEN	ஏக் தோ தீன்
MALLESHWAR	மல்லேஷ்வர்
TAPASYA	தபாஸ்யா
FATEENAH	ஃபதீனா
LEONARD	லியோனார்ட்
Trumble	ட்ரம்பில்
ADIRONDACK	அடிரோன்டாக்
DHIRGANJ	தீர்கஞ்ச்
PYASI NIGAHEN	பியாஸி நிகாஹென்
NESTLÉ	நெஸ்லே
PRANSUKH	ப்ரண்சுக்
EL POTOSI	எல் பொடோஸி
BABUGARH	பாபுகார்
NATIONAL PARKS OF BRAZIL	நேஷனல் பார்க்ஸ் ஆஃப் பிரேசில்
SURAKSHA	சுரக்ஷா
BOB WOOLMER	பாப் வுல்மெர்
VARADRAJA PERUMAL	வரதராஜ பெருமாள்
JHUNJHUNU	ஜுஞ்ஜுனு
NEEL KAMAL	நீல் கமல்
AAGE KI SOCH	ஆகே கி சோச்
MERA GHAR MERE BACHCHE	மேரா கர் மேரெ பச்சே
POOJA KE PHOOL	பூஜா கே ஃப்பூள்
DALEVILLE BAPTIST	தலேவில்லே பேப்டிஸ்ட்
MAHAATIKT	மஹாதிக்த்
GYAN	ஞான்
INDUBHUSHAN	இந்துபூஷன்
TORI	டோரி
SUVARNAPRABHA	சுவர்ணபிரபா
CARBON	கார்பன்
CATHY BETTS	கேத்தி பெட்ஸ்
I^JEENIYAR	இஞ்சீனியர்
HANUMAN	ஹனுமன்
ABZARI	அப்ஸாரி
HUM MATAWLE NAUJAWAN	ஹம் மதவ்லே நௌஜவான்
ANIL KUMBLE	அனில் கும்பிளே
BOMBAY WAR	பாம்பே வார்
PREET KI DORI	ப்ரீத் கி டோரி
MUSEUM OF LONDON	மியூஸியம் ஆஃப் லண்டன்
FRAM	ஃப்பிராம்
JITEN_DR	ஜிதேந்தர்
KAIL	கைல்
TERRY DUFFIN	டெர்ரி டஃப்பின்
WEDLOCK	வெட்லாக்
ALEX TAIT	அலெக்ஸ் டைட்
BELA TAL	பேலா தால்
CHRISTIANITY	கிரிஸ்டியானிட்டி
MELA	மேளா
ABHIJAY	அபிஜய்
Sherise	ஷெரைஸ்
BANDHAN ANJANA	பந்தன் அஞ்சனா
KAWABATA YASUNARI PRIZE	கவபாட்டா யாசுனாரி ப்ரைஸ்
SHOTPUT	ஷாட்புட்
RAN SANGRAM	ரான் சங்ராம்
WOLF PRIZE IN ARTS	உல்ஃப் ப்ரைஸ் இன் ஆர்ட்ஸ்
LOAFER	லோஃப்பர்
RAGHUNATH	ரகுநாத்
BANSILAL	பன்ஸீலால்
BACKWEB TECHNOLOGIES	பேக்வெப் டெக்னாலஜீஸ்
ORTEIG PRIZE	ஆர்டீக் ப்ரைஸ்
PRECISION VALLEY CORVETTE MUSEUM	பிரெசிஷன் வாலி கார்வெட் மியூஸியம்
SEA OF AZOVE	சீ ஆப் அசோவ்
DABHOLKAR	தபோல்கர்
Raakhi	ராக்கி
RIPUDAMAN	ரிபுதமன்
FRENCH OPEN CHAMPIONS	ஃப்ரெஞ்ச் ஓபன் சாம்பியன்ஸ்
JAMAI RAJA	ஜமாய் ராஜா
SAN PABLO BAY	சன் பாப்லோ பே
Margaret	மார்கரெட்
SCHILDE	ஷில்டே
GHATAKA VARANA	கட்டாகா வரணா
Natwar	நட்வர்
RAJANI	ரஜனி
BOSPORUS	போஸ்போரஸ்
JINDA	ஜிந்தா
MARCONI PRIZE	மார்கோனி ப்ரைஸ்
QAISAR	கைஸர்
LANCASTER	லான்காஸ்டர்
Barh	பார்
QUIANA	குவேனா
LAUREATE	லாரெட்
GAURI	கெளரி
GAURI	கௌரி
SIJU DOBHAKOL	சிஜூ டோபாகோல்
ZAHID FAZAL	ஜாஹித் ஃபாசல்
Mikel	மிகேல்
ARAV	அரவ்
OSPREY	ஆஸ்ப்ரே
PRIX GONCOURT	ப்ரிக்ஸ் கான்கோர்ட்
BONNAI	பொன்னை
XING UNIVERSAL TELEPHONE	ஸிங் யூனிவர்சல் டெலிபோன்
UNIVERSITY OF MARYLAND	யூனிவர்சிட்டி ஆஃப் மேரிலேண்ட்
UGAANI	உகானி
SAMRAT CHANDRAGUPT	சம்ரத் சந்திரகுப்த்
WALLY EDWARDS	வாலி எட்வர்ட்ஸ்
Khirwadkar	கிர்வாத்கர்
ACHCHAJI	அச்சாஜி
DANDUPUR	தண்டுபூர்
MIMI	மிமி
CUDDALORE PORT	கூடலூர் போர்ட்
FILLMORE	ஃப்பில்மோர்
BIKANER	பிகான்நெர்
RAJA RANI KO CHAHIYE PASINA	ராஜா ராணி கோ சாஹியெ பஸினா
BANASANDRA	பானாசண்ட்ரா
JERRY	ஜெர்ரி
NAKHRE WALI	நக்ரெ வாலி
CORNELIA	கோர்னிலியா
GURNAM	குர்னாம்
PREETISH	ப்ரீதிஷ்
MAIN CHUP RAHUNGI	மேன் சுப் ரஹூங்கி
NEK PARVEEN	நேக் பர்வீன்
Yogeshvar	யோகேஷ்வர்
DHIRERA	திரேரா
Gawarikar	கவாரிகர்
AMMAN	அம்மான்
MARTIN SUJI	மார்டின் சுஜி
JAHANARA	ஜஹனாரா
Neelkanta	நீல்கண்டா
ANANDI	ஆனந்தி
SAHARANPUR	சாஹாரன்பூர்
FORT BROWN	ஃப்போர்ட் பிரவுன்
CARRIE	காரீ
AKELE HUM AKELE TUM	அகேலே ஹம் அகேலே தும்
FORT VICTORIA	ஃப்போர்ட் விக்டோரியா
Snigdha	ஸ்னிக்தா
RAMI DHOBAN	ராமி தோபன்
CHANDANA	சந்தனா
GANGAGANJ	கங்காகஞ்ச்
JAYASINH	ஜெயசிங்
DONALD TRUMP	டொனால்ட் ட்ரம்ப்
TROY	ட்ராய்
INTIZAR	இன்டிஸார்
ORIGINS AWARD	ஆரிஜிஸ் அவார்ட்
BANDIPUR	பந்திபூர்
NITISH	நிதிஷ்
RAJAM	ராஜம்
YAQUB	யாகுப்
AVANTIKAA	அவன்திக்கா
IVANHOE ENERGY	இவன்ஹோ எனர்ஜி
SHAHIDA	ஷாஹிதா
GALAXIDI MARITIME MUSEUM	காலாக்ஸிடி மேரிடைம் மியூஸியம்
HONEY	ஹனி
KAANADE	கானதே
DISCUS	டிஸ்கஸ்
CHANDRIKA	சந்திரகா
PARVEEN	பர்வீன்
HENRY FORD	ஹென்ரி ஃபோர்ட்
MARTIN KENT	மார்ட்டின் கென்ட்
KAISE KAHOON	கைசே கஹூன்
BILASPUR JUNCTION	பிலாஸ்பூர் ஜங்ஷன்
ANGIOTECH PHARMACEUTICALS	ஆன்ஜியோ பார்மாசெட்டிக்கல்ஸ்
KAPINDRA	கபீன்தர்
Kabuliwala	கபுலிவாலா
AHSAN	அஹ்சான்
HUSSAIN	ஹுசெயின்
BHOLA BHALA	போலா பாலா
KALELKAR	கலேகர்
DEV KUMAR	தேவ் குமார்
FORT SUMTER	ஃப்போர்ட் சம்டர்
ATEEQAH	அதீக்
AKEEF	அகீஃப்
FORT ROWNER	ஃப்போர்ட் ரோனர்
RAAJWADE	ராஜ்வாதே
LAMBADA	லம்பாடா
CHAND SIAU	சந்த் சியாவு
CITADELLE OF QUEBEC	சிட்டாடெல் ஆப் க்யூபெக்
DRAXIS HEALTH	டிராக்ஸிஸ் ஹெல்த்
SALAAM MEMSAAB	சலாம் மெம்சாப்
STATE TOWER	ஸ்டேட் டவர்
LOTTE	லோட்டே
Luharwali	லுஹார்வாலி
Raksha	ரக்ஷா
WAHBAN	வஹ்பன்
FORTUM	போர்டம்
AVANEESH	அவனீஷ்
SHIDHORE	ஷிதோரே
MIKE WHITNEY	மைக் விட்னி
DELTA AIR LINES	டெல்டா ஏர்லைன்ஸ்
YAGAREDDY	யாகாரெட்டி
DAKHLA	தாக்லா
GANGA MERI MAA	கங்கா மேரி மா
AMERICAN WAR OF INDEPENDENCE	அமெரிக்கன் வார் ஆப் இன்டிபென்டென்ஸ்
TUNGABHADRA DAM	துங்கபத்ரா டேம்
HAWAIIAN	ஹவாயன்
LETHIA	லெதியா
FORT SAN FELIPE DEL MORRO	ஃப்போர்ட் சான் ஃப்பெலிப் டெல் மோரோ
MEHFIL	மெஹஃப்பில்
KAPEE^DR	கபீத்ர்
JEEVANA	ஜீவனா
GRAVITY	கிராவட்டி
BARI BRAHMAN	பாரி ப்ராஹ்மன்
VANDANA	வந்தனா
FORT TREGANTLE	ஃப்போர்ட் டிரேகான்ட்ல்
MADHUMATI	மதுமதி
GALLIA	கேலியா
ASHISH NEHRA	ஆஷிஷ் நெஹ்ரா
NOOR	நூர்
UMAR GUL	உமர் குல்
Phyliss	ஃபிலிஸ்
Noor-e-watan	நூர்-இ-வதன்
SHRUT	ஷ்ருத்
NIRVAN	நிர்வாண்
ASAAVARI	அசாவாரி
BALIDAAN	பலிதான்
DHATRI	தத்ரி
AHAMAD	அஹமாத்
DEEVAAN	தீவன்
FAYRUZ	ஃபேரஸ்
THE TYNE TURRETS	தி டைன் டுர்ரெட்ஸ்
HENRY HUDSON	ஹென்ரி ஹட்சன்
MOSER BAER	மோசர் பியர்
MAJD	மாஜ்த்
WARWICK	வார்விக்
CARIBBEAN	கேரிபியன்
CHITOSE	சிட்டோசெ
Dulhan	துல்ஹன்
LOWER NIRAR RESERVOIR	லோயர் நிரர் ரிசர்வாயர்
ALIGARH JUNCTION	அலிகார் ஜங்ஷன்
EHSAN	இஷான்
SHEL	ஷெல்
BISHNUPUR	பிஷ்ணுபூர்
ALLENDALE	அலென்டேல்
IMPLACABLE	இம்பிலேசபிள்
OLINDA	ஓலிந்தா
NELLUR	நெல்லூர்
DASSANAYAKE	தசனாயகே
SAAT SAMUNDER PAAR	சாத் சமுந்தர் பார்
ANANDTANDAVPUR	ஆனந்ததாண்டவபூர்
BALL	பால்
BARAKAH	பராகா
JUMA'	ஜுமா
BHAALACHANDR	பாலசந்தர்
SHANE BOND	ஷேன் பாண்ட்
ZOCHA	ஜோச்சா
GUPIL	குபில்
Tarkeshwar	தாரகேஷ்வர்
CHINMAY	சின்மை
JEFF BRIDGES	ஜெஃப் பிரிட்ஜஸ்
GIANCARLO	கியகார்லோ
KRASHNAPINGAAKSHAN	க்ராஷ்னாபிங்காக்ஷான்
PANHALA	பான்ஹாலா
CHAKRAM	சக்ரம்
GURBAKSH	குர்பக்ஷ்
AAHWANIT	ஆஹ்வானித்
BHAI BAHEN	பாய் பஹேன்
Lambodar	லம்போதர்
CHITTESH	சித்தேஷ்
BIRAJ BAHU	பிரஜ் பாஹு
FORT SHEFFIELD	ஃப்போர்ட் ஷஃப்பீல்ட்
HUMAM	ஹுமம்
VRASHTIHEEN	விரஷ்டிஹீன்
GWYN	கைன்
RAMKRISHNA	ராமகிருஷ்ணா
DEVGAM	தேவ்கம்
POONAM KA CHAND	பூனம் கா சந்த்
KAMILIA	காமிலியா
FOOTBALL	ஃபுட்பால்
BHAVINI	பாவினி
RANGNATH	ரங்கநாத்
SACHCHE KA BOLBALA	ஸச்சே கா போல்பலா
DOTTY	டோட்டி
MANZAR	மஞ்சர்
Basanti	பசந்தி
HANNOVER	ஹானோவர்
HANNOVER	ஹான்னோவர்
NAVRANGPUR	நவ்ராங்பூர்
SHAMA	ஷமா
SHAMA	ஷாமா
MUKHTAAR	முக்தார்
AMERADA HESS	அமெராதா ஹெஸ்
PANITR	பணித்ர
Duniyadari	துனியாதரி
VIJUL	விஜுல்
KAUSHIK	கெளஷிக்
ORDER OF CULTURE	ஆர்டர் ஆஃப் கல்ச்சர்
THOMAS JEFFERSON	தாமஸ் ஜெஃப்பெர்சன்
THOMAS JEFFERSON	தாம்ஸ் ஜெஃபர்சன்
HAIMAVAT	ஹைமாவத்
SHABB	ஷப்
ASIAN PAINTS	ஏசியன் பெயிண்ட்ஸ்
GHAREEBAH	காரிபா
CAIRO	கைரோ
DADAHUR	டாடாஹுர்
GENICA	ஜெனிகா
NELLIE	நெலியே
AGINCOURT	அகின்கோர்ட்
MALINI	மாலினி
SLEDDING	ஸ்லெட்டிங்
JEEVAN PRABHAT	ஜீவன் பிரபாத்
DHIREN	திரேன்
NIVEDITA	நிவேதிதா
SIDNEY	சிட்னி
CATHOLIC	கதோலிக்
GURIYA	குரியா
AFLAH	அஃப்லா
Prabuddha	ப்ரபுத்தா
LEVERETT	லெவெரெட்
